t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,action0,action1,action2,M,B,K
0.034,0.5236008921265602,2.0943936491012574,0.00012330706713328254,-8.329223132932383e-05,-0.0006639057,0.00014994848,-3.5119259678140224e-07,0.25000032782554626,-2.04152888727549e-05,1.8033261994787608e-05,0.002731514541665092,0.0,-0.12658761,-0.059199132,0.7463412,4.9303557351231575,235.20021699368954,1746.3412284851074
0.035,0.5236010324954987,2.0943936491012574,0.00012624140108528082,-8.540734665984928e-05,-0.00068597856,0.00015428357,-3.71837813872844e-07,0.25000032782554626,-2.0884488094452536e-05,1.8491193713998655e-05,0.0028168567951070145,0.0,-0.12658843,-0.059199654,0.7463407,4.930352047085762,235.2000866085291,1746.3406920433044
0.036000000000000004,0.5236011728644371,2.0943934619426727,0.000129126043884753,-8.750366359890904e-05,-0.0007080312,0.00015862094,-3.9294718590099365e-07,0.25000035762786865,-2.1343612388591282e-05,1.8945056581287645e-05,0.00290214429696789,0.0,-0.12658924,-0.05920016,0.7463401,4.930348426103592,235.19995994865894,1746.3400959968567
0.037,0.5236012664437294,2.0943934619426727,0.0001319621521361114,-8.958179614637629e-05,-0.000730064,0.00016296058,-4.145107652675506e-07,0.25000035762786865,-2.179287776016281e-05,1.9394981336517958e-05,0.002987378684338182,0.0,-0.12659004,-0.059200667,0.74633944,4.930344805121422,235.1998332887888,1746.3394403457642
0.038,0.5236014068126679,2.094393274784088,0.0001347508681647014,-9.164233688352397e-05,-0.0007520774,0.0001673025,-4.365188033261802e-07,0.25000038743019104,-2.223249566668528e-05,1.984109985642135e-05,0.0030725612305104733,0.0,-0.12659085,-0.05920119,0.74633896,4.930341184139252,235.19970290362835,1746.338963508606
0.039,0.5236015471816063,2.094393274784088,0.0001374933342958684,-9.368584983349137e-05,-0.0007740719,0.00017164664,-4.589617219608044e-07,0.2500004172325134,-2.266267756567686e-05,2.02835281015723e-05,0.0031576932087773457,0.0,-0.12659168,-0.059201732,0.7463383,4.930337429046631,235.19956693053246,1746.3383078575134
0.04,0.5236016875505448,2.0943930876255035,0.0001401906214596238,-9.571287760081759e-05,-0.00079604785,0.00017599299,-4.818302272724395e-07,0.2500004172325134,-2.3083625819708686e-05,2.0722388853755547e-05,0.003242776438128203,0.0,-0.12659247,-0.05920224,0.7463377,4.930333875119686,235.1994402706623,1746.3377118110657
0.041,0.5236018279194832,2.0943930876255035,0.00014284380058597889,-9.772391281330782e-05,-0.0008180059,0.00018034152,-5.051151674706489e-07,0.2500004470348358,-2.3495545065088663e-05,2.1157786704861792e-05,0.0033278120099566877,0.0,-0.12659326,-0.059202768,0.7463372,4.930330321192741,235.1993080228567,1746.3371753692627
0.042,0.5236019682884216,2.094392900466919,0.00014545388548867778,-9.97194480987673e-05,-0.0008399463,0.00018469224,-5.288075612952525e-07,0.2500004768371582,-2.3898633116914425e-05,2.1589828520518495e-05,0.003412801379454322,0.0,-0.12659408,-0.059203275,0.7463366,4.930326633155346,235.19918136298656,1746.336579322815
0.043000000000000003,0.5236021086573601,2.094392900466919,0.00014802188998146447,-0.00010169992610826739,-0.0008618697,0.0001890451,-5.528987685465836e-07,0.2500005066394806,-2.429307869533659e-05,2.2018612071406096e-05,0.0034977460018126294,0.0,-0.12659489,-0.059203796,0.746336,4.930323012173176,235.19905097782612,1746.3359832763672
