t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,M,B,K
0.03800000000000003,0.5236012844909338,2.0943934024082265,0.00013160191818059865,-8.869753452728445e-05,-0.00075269668274045,0.00016761726420495458,-4.147256481568107e-07,0.250000368057108,-2.181335170018685e-05,1.920353392823628e-05,0.0029896277350317407,0.0,5.0,350.0,2000.0
0.03900000000000003,0.5236014173699459,2.094393312882593,0.00013435446198888692,-9.067612728706936e-05,-0.000774731663241876,0.00017198140654369528,-4.3675476329996243e-07,0.2500003874399289,-2.225416837217793e-05,1.963190841685634e-05,0.0030749469835874444,0.0,5.0,350.0,2000.0
0.04000000000000003,0.5236015529772441,2.0943932213891796,0.00013705853540676687,-9.26332106530682e-05,-0.0007967489779491102,0.0001763482946501407,-4.592199824016152e-07,0.25000040724878325,-2.268555631439195e-05,2.0055625854152767e-05,0.00316021777851077,0.0,5.0,350.0,2000.0
0.04100000000000003,0.5236016912648869,2.0943931279492487,0.00013971519535968348,-9.456927655640374e-05,-0.0008187490316827984,0.00018071789128858964,-4.821119780340499e-07,0.25000042747906737,-2.3107718267088484e-05,2.0474792746805213e-05,0.003245441316597777,0.0,5.0,350.0,2000.0
0.04200000000000003,0.523601832185977,2.09439303258358,0.00014232547307504477,-9.648479718665587e-05,-0.0008407322307328734,0.00018509015988685295,-5.054216235533815e-07,0.25000044812628225,-2.352085301359095e-05,2.0889511327411635e-05,0.003330618783020551,0.0,5.0,350.0,2000.0
0.04300000000000003,0.5236019756946356,2.0943929353124915,0.00014489037417905707,-9.838022539345202e-05,-0.0008626989802660583,0.00018946506233058393,-5.291399892137783e-07,0.2500004691860287,-2.3925155354303304e-05,2.1299879641428542e-05,0.0034157513541580105,0.0,5.0,350.0,2000.0
0.04400000000000003,0.5236021217459769,2.0943928361558566,0.0001474108789911703,-0.00010025599577578246,-0.000884649680638873,0.00019384256122564094,-5.532583379208589e-07,0.2500004906540039,-2.4320816044163478e-05,2.1705991783008482e-05,0.0035008401813897763,0.0,5.0,350.0,2000.0
0.04500000000000003,0.5236022702960825,2.0943927351331233,0.0001498879429236197,-0.00010211252522653067,-0.0009065847262919823,0.00019822261824400277,-5.777681214291785e-07,0.25000051252599714,-2.4708021824468564e-05,2.210793801288844e-05,0.0035858863945294854,0.0,5.0,350.0,2000.0
0.046000000000000034,0.5236024213019778,2.0943926322633315,0.00015232249698524328,-0.00010395021395811097,-0.0009285045034736085,0.00020260519576704376,-6.026609759013368e-07,0.25000053479788614,-2.5086955420630303e-05,2.2505804980441417e-05,0.0036708910917027785,0.0,5.0,350.0,2000.0
0.047000000000000035,0.5236025747216069,2.094392527565129,0.00015471544833953858,-0.0001057694461117305,-0.0009504093903247515,0.000206990255324045,-6.279287189103755e-07,0.25000055746563316,-2.5457795605536917e-05,2.289967585558022e-05,0.003755855342912479,0.0,5.0,350.0,2000.0
0.048000000000000036,0.5236027305138095,2.0943924210567864,0.00015706768090387627,-0.0001075705907814092,-0.000972299754759783,0.0002113777601107852,-6.53563344110708e-07,0.2500005805252826,-2.5820717221359347e-05,2.32896305504595e-05,0.0038407801830646995,0.0,5.0,350.0,2000.0
0.04900000000000004,0.5236028886382978,2.0943923127562125,0.00015938005596672033,-0.00010935400237210045,-0.0009941759559005307,0.00021576767174466636,-6.795570186290956e-07,0.2500006039729568,-2.617589128909595e-05,2.3675745797006362e-05,0.003925666620141374,0.0,5.0,350.0,2000.0
0.05000000000000004,0.5236030490556347,2.0943922026809694,0.0001616534128336925,-0.00011112002180596882,-0.0010160383419993064,0.0002201599538327627,-7.059020783739545e-07,0.2500006278048535,-2.6523485019308753e-05,2.4058095408082966e-05,0.004010515622931635,0.0,5.0,350.0,2000.0
0.05100000000000004,0.5236032117272111,2.0943920908482845,0.00016388856945491522,-0.00011286897676313736,-0.001037887252025485,0.00022455456891777635,-7.325910248712209e-07,0.25000065201724253,-2.6863661938870067e-05,2.4436750329605578e-05,0.004095328134486569,0.0,5.0,350.0,2000.0
0.05200000000000004,0.5236033766152259,2.0943919772750634,0.00016608632306793083,-0.00011460118271558882,-0.0010597230143712228,0.00022895148111114303,-7.596165211010142e-07,0.25000067660646386,-2.7196581922458976e-05,2.4811778864386987e-05,0.004180105061057778,0.0,5.0,350.0,2000.0
0.05300000000000004,0.5236035436826652,2.0943918619779023,0.00016824745081371137,-0.00011631694323646848,-0.001081545948180707,0.0002333506536813109,-7.869713883890128e-07,0.25000070156892384,-2.75224013079048e-05,2.518324673909882e-05,0.004264847282661164,0.0,5.0,350.0,2000.0
0.05400000000000004,0.5236037128932821,2.0943917449730995,0.00017037271036014675,-0.00011801655092946815,-0.0011033563623998185,0.00023775205162588102,-8.146486025206734e-07,0.250000726901094,-2.7841272935890146e-05,2.5551217305485702e-05,0.004349555644596785,0.0,5.0,350.0,2000.0
0.05500000000000004,0.5236038842115783,2.094391626276666,0.0001724628404839544,-0.00011970028764246026,-0.001125154557038558,0.00024215563915733684,-8.426412903272951e-07,0.2500007525995076,-2.8153346268727433e-05,2.5915751586615117e-05,0.004434230968416384,0.0,5.0,350.0,2000.0
0.05600000000000004,0.5236040576027851,2.094391505904336,0.0001745185616672249,-0.00012136842533503746,-0.0011469408227312884,0.0002465613816098239,-8.70942726771684e-07,0.25000077866075787,-2.8458767431056516e-05,2.627690846470222e-05,0.004518874042743933,0.0,5.0,350.0,2000.0
0.057000000000000044,0.5236042330328451,2.0943913838715766,0.00017654057664875697,-0.00012302122640131446,-0.001168715441230999,0.0002509692446860198,-8.99546331062373e-07,0.2500008050814961,-2.8757679307331373e-05,2.6634744750995638e-05,0.004603485632113931,0.0,5.0,350.0,2000.0
0.058000000000000045,0.5236044104683953,2.094391260193597,0.00017852957097126414,-0.00012465894417657114,-0.0011904786857473378,0.00025537919449965653,-9.28445663656019e-07,0.25000083185842936,-2.905022161529454e-05,2.698931529546627e-05,0.004688066474679701,0.0,5.0,350.0,2000.0
0.059000000000000045,0.52360458987675,2.094391134885357,0.0001804862135062042,-0.0001262818234051733,-0.0012122308212935515,0.0002597911973118952,-9.576344233153122e-07,0.2500008589883184,-2.9336530978697288e-05,2.734067308811252e-05,0.004772617283535865,0.0,5.0,350.0,2000.0
0.060000000000000046,0.5236047712258838,2.094391007961576,0.00018241115696566242,-0.00012789010075614604,-0.0012339721047064497,0.0002642052204237459,-9.871064439725963e-07,0.2500008864679764,-2.9616740990826717e-05,2.7688869370582895e-05,0.004857138746549754,0.0,5.0,350.0,2000.0
0.06100000000000005,0.5236049544844167,2.094390879436742,0.00018430503838048762,-0.00012948400507299947,-0.0012557027852720312,0.00026862123108730384,-1.0168556915657323e-06,0.25000091429426674,-2.9890982302814122e-05,2.8033953690262603e-05,0.004941631531096118,0.0,5.0,350.0,2000.0
0.06200000000000005,0.5236051396215977,2.094390749325115,0.0001861684795791411,-0.00013106375789886468,-0.0012774231046756227,0.00027303919733368616,-1.046876261234786e-06,0.2500009424641014,-3.0159382677707834e-05,2.8375974013966794e-05,0.005026096280381786,0.0,5.0,350.0,2000.0
0.06300000000000004,0.5236053266072906,2.094390617640739,0.00018800208763838566,-0.00013262957375588036,-0.0012991332975301171,0.00027745908767246084,-1.0771623744909586e-06,0.2500009709744402,-3.0422067068224663e-05,2.8714976788427584e-05,0.005110533617715482,0.0,5.0,350.0,2000.0
0.06400000000000004,0.5236055154119589,2.0943904843974472,0.0001898064553142842,-0.00013418166048220092,-0.001320833591656572,0.00028188087060810035,-1.1077083764965412e-06,0.2500009998222877,-3.06791576823757e-05,2.9051007013256593e-05,0.0051949441464519824,0.0,5.0,350.0,2000.0
0.06500000000000004,0.5236057060066518,2.0943903496088665,0.00019158216147166005,-0.00013572021968442504,-0.0013425242079251286,0.0002863045159989798,-1.1385087332060895e-06,0.2500010290046936,-3.0930774034280244e-05,2.9384108338896958e-05,0.005279328448519549,0.0,5.0,350.0,2000.0
0.06600000000000004,0.5236058983629909,2.0943902132884262,0.0001933297714741198,-0.00013724544680133134,-0.0013642053612445129,0.00029072999308264887,-1.1695580288684226e-06,0.2500010585187502,-3.117703303370647e-05,2.9714323080420856e-05,0.005363687090977808,0.0,5.0,350.0,2000.0
0.06700000000000005,0.5236060924531565,2.094390075449363,0.00019504983758638275,-0.00013875753168448782,-0.001385877259818933,0.0002951572727997962,-1.2008509631400432e-06,0.25000108836159185,-3.141804901407982e-05,3.0041692343233758e-05,0.005448020618743893,0.0,5.0,350.0,2000.0
0.06800000000000005,0.5236062882498747,2.0943899361047262,0.0001967428993348967,-0.00014025665853614552,-0.0014075401066107177,0.0002995863250892215,-1.2323823491144914e-06,0.2500011185303928,-3.165393383040189e-05,3.0366256009626472e-05,0.005532329564588071,0.0,5.0,350.0,2000.0
0.06900000000000005,0.5236064857264048,2.094389795267384,0.00019840948388129926,-0.0001417430065561357,-0.0014291940980986103,0.0003040171218920122,-1.2641471102137203e-06,0.2500011490223671,-3.188479687175572e-05,3.0688052878831395e-05,0.005616614439297725,0.0,5.0,350.0,2000.0
0.07000000000000005,0.5236066848565276,2.0943896529500274,0.00020005010635691057,-0.0001432167497703993,-0.0014508394258495184,0.0003084496343840939,-1.2961402780786724e-06,0.25000117983476705,-3.2110745166364325e-05,3.10071206298967e-05,0.005700875743903083,0.0,5.0,350.0,2000.0
0.07100000000000005,0.5236068856145331,2.0943895091651763,0.00020166527020718184,-0.0001446780575856152,-0.0014724762758972824,0.0003128838347809631,-1.3283569904876114e-06,0.2500012109648818,-3.233188339837603e-05,3.132349594176582e-05,0.005785113959709066,0.0,5.0,350.0,2000.0
0.07200000000000005,0.5236070879752087,2.094389363925183,0.00020325546750544747,-0.00014612709484327147,-0.0014941048291052736,0.00031731969566470254,-1.3607924884972977e-06,0.25000124241003685,-3.2548313979545116e-05,3.163721450498325e-05,0.005869329556029212,0.0,5.0,350.0,2000.0
